bug_id	module	instruction_type	pipeline_stage	impact
0	ibex_decoder	RV32I-Load（LB/LBU）	ID/EX（译码）	字节加载被错误译成字访问
1	ibex_id_stage	RV32I-Load/Store	ID/EX（发射/控制）	LSU 请求允许条件由与变或
2	ibex_multdiv_fast	RV32M-Div/Rem	EX（乘除法单元）	无符号被除数错误取自操作数 B
3	ibex_load_store_unit	RV32I-Load/Store	LSU/MEM（数据接口）	总线写使能错误取请求信号
4	ibex_wb_stage	通用（寄存器写回类）	WB（写回）	无独立 WB 配置下 EX 与 LSU 写回数据槽冲突
5	ibex_id_stage	通用（流水线冒险）	ID/EX（停顿控制）	加载冒险与存储器停顿条件错误相与
6	ibex_id_stage	通用（流水线冒险）	ID/EX（停顿控制）	分支停顿与 ALU 停顿条件错误相与
7	ibex_multdiv_fast	RV32M-Div/Rem	EX（乘除法单元）	除法状态机使用下一拍计数值判断结束
8	ibex_if_stage	RV32I-Control-flow	IF（重定向）	取指重定向的两个互斥来源错误相与
9	ibex_multdiv_fast	RV32M-Div/Rem	EX（乘除法单元）	除法迭代结束计数 off-by-one
11	ibex_fetch_fifo	通用（含 RVC）	IF（取指 FIFO）	FIFO 弹出条件错误使用输入有效
12	ibex_core	通用（RVFI 观测）	退休/RVFI（跨阶段）	RVFI 有效条件由与变或
13	ibex_id_stage	通用（流水线冒险）	ID/EX（停顿控制）	存储器与乘除法停顿条件错误相与
14	ibex_prefetch_buffer	RV32I-Control-flow	IF（预取/重定向）	分支重定向地址错误使用输出地址
15	ibex_ex_block	RV32M-Mul/Div	EX（执行块）	乘除法中间寄存器 1 错取寄存器 0
16	ibex_alu	RV32I-ALU-Logical	EX（ALU）	逻辑运算 B 操作数错误取 A
17	ibex_fetch_fifo	通用（全部指令）	IF（取指 FIFO）	FIFO 末项写使能索引越界
18	ibex_decoder	RV32I-Load（LB/LBU）	ID/EX（译码）	字节加载被错误译成半字访问
19	ibex_prefetch_buffer	通用（全部指令）	IF（预取请求）	未完成请求跟踪错误使用 next-state 请求
20	ibex_multdiv_fast	RV32M-Mul	EX（乘法单元）	高半乘积累加值错误取另一中间寄存器
23	ibex_load_store_unit	RV32I-Load（LH/LHU）	LSU/MEM（加载对齐）	半字加载错误选择字数据
24	ibex_core	通用（RVFI 观测）	退休/RVFI（跨阶段）	RVFI 写回数据数组索引越界
25	ibex_ex_block	RV32M-Mul/Div	EX（执行块）	乘法和除法选择信号错误相与
26	ibex_multdiv_fast	RV32M-Mul	EX（乘法单元）	无符号乘法操作数被强制按有符号处理
